CD_MUN,NM_MUN,pop,casos,fcu_pop,taxa,pct_fcu
3518701,Guarujá,280953,1569.0,105622,111.69127932429979,37.594188351788375
3513504,Cubatão,111536,594.0,36429,106.5126954525893,32.661203557595755
3551009,São Vicente,323796,1599.0,85059,98.76588963421413,26.26931771856354
3537602,Peruíbe,67059,309.0,277,92.15765221670469,0.4130690884146796
3541000,Praia Grande,342894,1397.0,21315,81.48290725413685,6.21620675777354
3531100,Mongaguá,58551,236.0,0,80.61348226332599,0.0
3548500,Santos,417120,1587.0,46105,76.09321058688148,11.053174146528576
3522109,Itanhaém,110547,395.0,554,71.46281672048993,0.5011443096601446
3506359,Bertioga,60553,194.0,16217,64.07609862434562,26.781497200799297
