mun_n,bairro_n,n_cases
GUARULHOS,JARDIM ALBERTINA,1
GUARULHOS,JARDIM ALAMO,1
GUARULHOS,JARDIM AERODROMO,1
GUARULHOS,CIDADE SOIMCO,1
GUARULHOS,CIDADE SATELITE,1
GUARULHOS,CIDADE JARDIM CUMBICA,1
GUARULHOS,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,1
GUARULHOS,CHATUBA,1
GUARULHOS,ALVORADA,1
FRANCO DA ROCHA,VILA ZANELA,1
FRANCO DA ROCHA,VILA ROSALINA,1
FRANCO DA ROCHA,VILA PALMARES,1
FRANCO DA ROCHA,VILA JOSEFINA,1
GUARULHOS,JARDIM HANNA,1
GUARULHOS,JARDIM LAS VEGAS,1
ITAPECERICA DA SERRA,VILA GENI,1
GUARULHOS,JARDIM NOVO PORTUGAL,1
ITAPECERICA DA SERRA,RESSACA,1
ITAPECERICA DA SERRA,PARQUE DELFIM VERDE,1
ITAPECERICA DA SERRA,JARDIM VITORIA,1
ITAPECERICA DA SERRA,JARDIM PARAISO,1
ITAPECERICA DA SERRA,JARDIM NOGUEIRA,1
ITAPECERICA DA SERRA,JARDIM MIRANTE,1
ITAPECERICA DA SERRA,JARDIM DO CARMO II,1
ITAPECERICA DA SERRA,JACEGUAVA,1
ITAPECERICA DA SERRA,ALDEINHA,1
GUARULHOS,VILA ROSALIA,1
GUARULHOS,VILA PARAISO,1
GUARULHOS,VILA ANY,1
GUARULHOS,VILA ANNY,1
GUARULHOS,SAO ROQUE,1
GUARULHOS,PARQUE ESTELA,1
GUARULHOS,JARDIM SAO MANOEL,1
GUARULHOS,JARDIM SANTA RITA III,1
ITAQUAQUECETUBA,JARDIM TROPICAL,1
ITAQUAQUECETUBA,JARDIM VALPARAISO,1
ITAQUAQUECETUBA,JARDIM VIANA,1
MAUA,JARDIM CAMARGO,1
MAUA,JARDIM ARAGUAIA,1
MAUA,JARDIM ARACY,1
MAUA,JARDIM AGATTI,1
MAUA,CAPUAVA,1
MAIRIPORA,VILA MACHADO,1
MAIRIPORA,SERRA DA CANTAREIRA,1
MAIRIPORA,SAUSALITO,1
MAIRIPORA,SAO VICENTE,1
MAIRIPORA,ROSEIRA,1
MAIRIPORA,REMEDIOS,1
MAIRIPORA,RANCHO GRANDE,1
MAIRIPORA,PIRUCAIA,1
MAIRIPORA,PARQUE PETROPOLIS,1
MAIRIPORA,PARQUE DA REPRESA,1
MAIRIPORA,LAVAPES,1
MAIRIPORA,JARDIM PEREIRA,1
MAIRIPORA,JARDIM PARAISO,1
MAUA,JARDIM BOM RECANTO,1
MAUA,JARDIM CAMILA,1
MAIRIPORA,JARDIM FERNAO DIAS,1
MAUA,JARDIM ITAUSSU,1
MOGI DAS CRUZES,CHACARA DOS BAIANOS,1
MOGI DAS CRUZES,CHACARA ALVARO BOVOLENTA,1
MAUA,VILA TAVARES,1
MAUA,VILA SANTA ROSA,1
MAUA,VILA REAL,1
MAUA,VILA MORELLI,1
MAUA,VILA EMILIO,1
MAUA,VILA DIRCE,1
MAUA,NUCLEO CINCINATO BRAGA,1
MAUA,MATRIZ,1
MAUA,JARDIM SILVIA MARIA,1
MAUA,JARDIM SILVIA,1
MAUA,JARDIM SAO SEBASTIAO,1
MAUA,JARDIM SAO JUDAS,1
MAUA,JARDIM SAO JOAO,1
MAUA,JARDIM SANTANA,1
MAUA,JARDIM SAMPAIO VIDAL,1
MAIRIPORA,JARDIM LUCIA,1
MAIRIPORA,JACARANDAS,1
ITAQUAQUECETUBA,JOSELI,1
JANDIRA,FIGUEIRAO,1
JANDIRA,ALTOS DE SAO FERNANDO,1
ITAQUAQUECETUBA,VILA URSULINA,1
ITAQUAQUECETUBA,VILA PASSALACQUA,1
ITAQUAQUECETUBA,VILA FERREIRA,1
ITAQUAQUECETUBA,VILA ERCILIA,1
ITAQUAQUECETUBA,VILA CELESTE,1
ITAQUAQUECETUBA,SANTA TEREZA,1
ITAQUAQUECETUBA,PIUM,1
ITAQUAQUECETUBA,PARQUE VIVIANE,1
ITAQUAQUECETUBA,PARQUE RESINDENCIAL MARENGO,1
ITAQUAQUECETUBA,PARQUE NOVO HORIZONTE,1
ITAQUAQUECETUBA,PARQUE MARENGO,1
ITAQUAQUECETUBA,PARQUE DIRCE,1
ITAQUAQUECETUBA,NOSSA SENHORA DAS GRACAS,1
ITAQUAQUECETUBA,MARENGO ALTO,1
ITAQUAQUECETUBA,MANOEL FEIO,1
ITAQUAQUECETUBA,MANDI,1
JANDIRA,CONDOMINIO NOVA PAULISTA,1
JANDIRA,JARDIM ALVORADA,1
MAIRIPORA,CANJICA,1
JANDIRA,JARDIM BELMONT,1
JANDIRA,VL SANTA ROSA,1
JANDIRA,VILA DIOGO BALHESTEIRO,1
JANDIRA,VALE VERDE,1
JANDIRA,PARQUE DO LAGO,1
JANDIRA,NOVA HIGIENOPOLIS,1
JANDIRA,MIRANTE DE JANDIRA,1
JANDIRA,JD PALMEIRAS,1
JANDIRA,JD GABRIELA 3,1
JANDIRA,JD GABRIELA 1,1
JANDIRA,JD CENTENARIO,1
JANDIRA,JD BROTINHO,1
JANDIRA,JD BRIQUET,1
JANDIRA,JARDIM SAO JOAO,1
JANDIRA,JARDIM ROSA EMILIA,1
JANDIRA,JARDIM GABRIELA 3,1
JANDIRA,JARDIM EUROPA,1
JANDIRA,JARDIM BROTINHO,1
FRANCO DA ROCHA,VILA IDA,1
FRANCO DA ROCHA,PARQUE PAULISTA,1
FRANCO DA ROCHA,PARQUE EUCALIPTOS,1
COTIA,CHACARA RINCAO,1
COTIA,BAIRRO DA GRACA,1
COTIA,ASSENTAMENTO CAPUTERA,1
COTIA,ALTOS DE CAUCAIA CAUCAIA DO ALTO,1
CARAPICUIBA,VILA SANTO ANTONIO,1
CARAPICUIBA,VILA SANTA LUCIA,1
CARAPICUIBA,VILA ROSA,1
CARAPICUIBA,VILA QUINTINO,1
CARAPICUIBA,VILA OLIVINA,1
CARAPICUIBA,VILA MARGARIDA,1
CARAPICUIBA,VILA FREITAS,1
CARAPICUIBA,JARDIM SANTA RITA,1
CARAPICUIBA,JARDIM MESQUITA,1
CARAPICUIBA,JARDIM LEONOR,1
CARAPICUIBA,JARDIM FELIPE,1
CARAPICUIBA,JARDIM CIBELE,1
CARAPICUIBA,JARDIM BULBOW,1
CARAPICUIBA,JARDIM ALFREDO SONCINI,1
COTIA,CHACARA CANTA GALO,1
COTIA,CHACARA ROSELANDIA,1
CARAPICUIBA,CHACARA VALE DO RIO COTIA,1
COTIA,CHACARA SANTA MARIA,1
COTIA,MOINHO VELHO,1
COTIA,LAJEADO,1
COTIA,LAGEADO,1
COTIA,JARDIM SANTANA,1
COTIA,JARDIM SABIA,1
COTIA,JARDIM REBELATO,1
COTIA,JARDIM PIONEIRA,1
COTIA,JARDIM MONTE SANTO,1
COTIA,JARDIM MARANHAO,1
COTIA,JARDIM ELIAS,1
COTIA,JARDIM DO RIO COTIA,1
COTIA,JARDIM DINORAH,1
COTIA,JARDIM CENTRAL,1
COTIA,JARDIM ARCO VERDE,1
COTIA,HORIZONTAL PARK,1
COTIA,COTIA,1
COTIA,COLINAS DE COTIA,1
CARAPICUIBA,CORINTINHA,1
CARAPICUIBA,CHACARA DO REFUGIO,1
COTIA,MORRO GRANDE,1
BARUERI,JARDIM SAO JOSE,1
BARUERI,JARDIM ESPERANCA,1
BARUERI,JARDIM DOS CAMARGOS,1
BARUERI,CHACARA MARCO,1
BARUERI,ALPHAVILLE 0,1
BARUERI,ALPHA CONDE II,1
ARUJA,PILAR,1
ARUJA,NOSSA SENHORA DO CARMO,1
ARUJA,LAVORARE ARUJA,1
ARUJA,JARDIM SAO JOSE,1
ARUJA,JARDIM SANTO ANTONIO,1
ARUJA,JARDIM PLANALTO,1
ARUJA,JARDIM EMILIA,1
ARUJA,JARDIM DAS CEREJEIRAS,1
ARUJA,CHACARA SAO JOSE,1
ARUJA,CACHOEIRA,1
ARUJA,ARUJAZINHO IV,1
ARUJA,ARUJAZINHO I E II E III,1
BARUERI,JARDIM REGINA ALICE,1
BARUERI,JARDIM TUPAN,1
CARAPICUIBA,CHACARA DAS PAINEIRAS,1
BARUERI,JD PINDORAMA,1
CARAPICUIBA,CHACARA DAS FLORES,1
CAJAMAR,PORTAL DOS IPES 3,1
CAJAMAR,MORADA PITORESCA,1
CAJAMAR,GUATURINHO,1
CAJAMAR,COLINA MARIA LUIZA,1
CAJAMAR,AGUA FRIA,1
CAIEIRAS,SITIO APARECIDA,1
CAIEIRAS,SANTA INES,1
CAIEIRAS,JARDIM VITORIA,1
CAIEIRAS,JARDIM SERRA GRANDE,1
CAIEIRAS,JARDIM MIRAVAL,1
CAIEIRAS,CALCAREA,1
BARUERI,VILA SAO SILVESTRE,1
BARUERI,VILA DO CONDE,1
BARUERI,TAMBORE,1
BARUERI,RESIDENCIAL ALPHAVILLE 1,1
BARUERI,PARQUE ESMERALDA,1
COTIA,MONJOLO,1
COTIA,NAKAMURA PARK,1
FRANCO DA ROCHA,JARDIM DOS LAGOS,1
FRANCISCO MORATO,JARDIM BUENOS AIRES,1
FRANCISCO MORATO,JARDIM ANTOMAR,1
FRANCISCO MORATO,JARDIM ALEXANDRA,1
FRANCISCO MORATO,JARDIM,1
FRANCISCO MORATO,FRANCISCO MORATO,1
FRANCISCO MORATO,CHACARAS R S ALEIXO,1
FRANCISCO MORATO,CHACARA MARTHA,1
FERRAZ DE VASCONCELOS,VL PANUCCE,1
FERRAZ DE VASCONCELOS,VILA SANTA CATARINA,1
FERRAZ DE VASCONCELOS,VILA PRIMAVERA,1
FERRAZ DE VASCONCELOS,VILA PANUCCE,1
FERRAZ DE VASCONCELOS,VILA LOANDA,1
FERRAZ DE VASCONCELOS,VILA DAS NACOES,1
FERRAZ DE VASCONCELOS,VILA CORREA JARDIM SELMA HELENA E SOL NASCENTE,1
FERRAZ DE VASCONCELOS,VILA AYDA,1
FERRAZ DE VASCONCELOS,VILA ANDREIA,1
FERRAZ DE VASCONCELOS,SAN GIOVANI,1
FERRAZ DE VASCONCELOS,PARQUE DOUURADO,1
FRANCISCO MORATO,JARDIM BOM SUCESSO,1
FRANCISCO MORATO,JARDIM EGLEN,1
FERRAZ DE VASCONCELOS,JARDIM VISTA ALEGRE,1
FRANCISCO MORATO,JARDIM ELIZA,1
FRANCO DA ROCHA,JARDIM DOS BANDEIRANTES,1
FRANCO DA ROCHA,JARDIM ALPINO,1
FRANCO DA ROCHA,JARDIM ALICE,1
FRANCO DA ROCHA,COMPANHIA FAZENDA BELEM,1
FRANCISCO MORATO,VILA ROSSI,1
FRANCISCO MORATO,VILA PRIMAVERA,1
FRANCISCO MORATO,VILA HELOISA,1
FRANCISCO MORATO,SANTO ANTONIO,1
FRANCISCO MORATO,PORTAL DO LAGO,1
FRANCISCO MORATO,PARQUE PAULISTA,1
FRANCISCO MORATO,JARDIM VIRGINIA,1
FRANCISCO MORATO,JARDIM ROGERIO LEVORIN,1
FRANCISCO MORATO,JARDIM PROFESSOR FRANCISCO MORATO,1
FRANCISCO MORATO,JARDIM PRIMAVERA,1
FRANCISCO MORATO,JARDIM PLANALTO DO BELEM,1
FRANCISCO MORATO,JARDIM NOVA MORADA,1
FRANCISCO MORATO,JARDIM MEU RECANTO,1
FERRAZ DE VASCONCELOS,PARQUE ATLANTICA,1
FERRAZ DE VASCONCELOS,JARDIM VICO,1
COTIA,OLIVEIRAS,1
EMBU-GUACU,FLAMINGO,1
EMBU-GUACU,CIPO GUACU,1
EMBU-GUACU,CHACARA LIBARDI SCHIMIDT,1
DIADEMA,JARDIM RUYCE,1
DIADEMA,09930530,1
COTIA,VILA SAO JOAQUIM,1
COTIA,VALLE VERDE,1
COTIA,RIO COTIA,1
COTIA,RESSACA,1
COTIA,RESIDENCIAL VIVA CAUCAIA II,1
COTIA,PORTAL DO SANTA PAULA,1
COTIA,PORTAL DA PRIMAVERA,1
COTIA,PLANALTO DE CAUCAIA,1
COTIA,PITAS,1
COTIA,PEREIRAS,1
COTIA,PARQUE RINCAO,1
COTIA,PARQUE MIRANTE DA MATA,1
COTIA,PAISAGEM RENOIR,1
EMBU-GUACU,DOS BORGES,1
EMBU-GUACU,JARDIM CAMPESTRE,1
FERRAZ DE VASCONCELOS,JARDIM SANTA ROSA,1
EMBU-GUACU,JARDIM DA REPRESA DO CIPO,1
FERRAZ DE VASCONCELOS,JARDIM PRIMAVERA,1
FERRAZ DE VASCONCELOS,JARDIM MERCEDES,1
FERRAZ DE VASCONCELOS,JARDIM MALDA,1
FERRAZ DE VASCONCELOS,JARDIM JULIO DE CARVALHO,1
FERRAZ DE VASCONCELOS,JARDIM JOSE FERREIRA,1
FERRAZ DE VASCONCELOS,JARDIM IMPERIAL,1
FERRAZ DE VASCONCELOS,JARDIM DO SOL,1
FERRAZ DE VASCONCELOS,JARDIM DAS FLORES,1
FERRAZ DE VASCONCELOS,JARDIM CAPIM GUASSU,1
FERRAZ DE VASCONCELOS,JARDIM AMALFI,1
FERRAZ DE VASCONCELOS,JARDIM ALICE,1
FERRAZ DE VASCONCELOS,CONJUNTO SAO MIGUEL,1
EMBU-GUACU,VALE TRANQUILO,1
EMBU-GUACU,SANTA FE,1
EMBU-GUACU,PENTEADO,1
EMBU-GUACU,JARDIM SAO PAULO,1
EMBU-GUACU,JARDIM DAS PACAS,1
MOGI DAS CRUZES,CONJUNTO HABITACIONAL SAO SEBASTIAO,1
MOGI DAS CRUZES,ITAPETI,1
SAO PAULO,PQ VL MARIA,1
SAO PAULO,JARDIM MARACANA,1
SAO PAULO,JARDIM NOSSO LAR,1
SAO PAULO,JARDIM NOSSA SENHORA DO CARMO,1
SAO PAULO,JARDIM NELLY,1
SAO PAULO,JARDIM NEIDE,1
SAO PAULO,JARDIM MORAIS PRADO,1
SAO PAULO,JARDIM MONTE BELO,1
SAO PAULO,JARDIM MIRANTE,1
SAO PAULO,JARDIM MAZA,1
SAO PAULO,JARDIM MARABA,1
MOGI DAS CRUZES,JARDIM ARACY,1
SAO PAULO,JARDIM MANACA,1
SAO PAULO,JARDIM MACHADO,1
SAO PAULO,JARDIM LEONOR,1
SAO PAULO,JARDIM LAR NACIONAL,1
SAO PAULO,JARDIM KIKA,1
SAO PAULO,JARDIM JOBAR,1
SAO PAULO,JARDIM JOAO XXIII,1
SAO PAULO,JARDIM JABAQUARA,1
SAO PAULO,JARDIM NOVE JULHO,1
SAO PAULO,JARDIM PARANAPANENA,1
SAO PAULO,JARDIM PEROLA 3,1
SAO PAULO,JARDIM PETROPOLIS,1
SAO PAULO,JARDIM TERESA,1
SAO PAULO,JARDIM TANAY,1
SAO PAULO,JARDIM SELESTE,1
SAO PAULO,JARDIM SAPOOEMBA,1
SAO PAULO,JARDIM SAO JOAQUIM,1
SAO PAULO,JARDIM SANTO ANTONINHO,1
SAO PAULO,JARDIM SANTA GERTRUDES,1
SAO PAULO,JARDIM SANTA DE,1
SAO PAULO,JARDIM SABARA,1
SAO PAULO,JARDIM ROSHEL,1
SAO PAULO,JARDIM RIVIERA,1
SAO PAULO,JARDIM REAL,1
SAO PAULO,JARDIM RAPOSO TAVARES,1
SAO PAULO,JARDIM PROMISSAO,1
SAO PAULO,JARDIM POUSO ALEGRE,1
SAO PAULO,JARDIM PORTAL,1
SAO PAULO,JARDIM PIQUEROBI,1
SAO PAULO,JARDIM ITAPOLS,1
SAO PAULO,JARDIM ITAMARATI,1
SAO PAULO,JARDIM IPERADOR,1
SAO PAULO,JARDIM BANDEIRANTES,1
SAO PAULO,JARDIM ARIICANDUVA,1
SAO PAULO,JARDIM ANALIA FRANCO,1
SAO PAULO,JARDIM ANA LUCIA,1
SAO PAULO,JARDIM ALIANCA,1
SAO PAULO,JARDIM ALEXANDRINA PEREIRA,1
SAO PAULO,JARDIM ALADIM,1
SAO PAULO,JARDIM 9 DE JULHO,1
SAO PAULO,JARDIM,1
SAO PAULO,JARDIIM IGUATEMI,1
SAO PAULO,IGUACU,1
SAO PAULO,GUANHEMBU 2,1
SAO PAULO,FLOR DA CANTAREIRA,1
SAO PAULO,FAVELA SOROCABANA 2,1
SAO PAULO,FAVELA SANTA EDWIRGES,1
SAO PAULO,FAVELA SANTA EDWIGES,1
SAO PAULO,FAVELA JARDIM SAO JOAO XIV,1
SAO PAULO,FAVELA JARDIM SAO JOAO VIII,1
SAO PAULO,JARDIM ARMINDO,1
SAO PAULO,JARDIM CAMARGO NOVO,1
SAO PAULO,JARDIM HIPICO,1
SAO PAULO,JARDIM CAMBARA,1
SAO PAULO,JARDIM GRAUNA,1
SAO PAULO,JARDIM GISMAR,1
SAO PAULO,JARDIM FRANCISCO MENDES,1
SAO PAULO,JARDIM FLOR DE MAIO,1
SAO PAULO,JARDIM FIGUEIRA GRANDE,1
SAO PAULO,JARDIM EDITH,1
SAO PAULO,JARDIM DUPRAT,1
SAO PAULO,JARDIM DOS PINHEIROS,1
SAO PAULO,JARDIM DOM BOSCO,1
SAO PAULO,JARDIM DO RUSSO,1
SAO PAULO,JARDIM DO EDEN,1
SAO PAULO,JARDIM DINAR,1
SAO PAULO,JARDIM DAS PALMAS,1
SAO PAULO,JARDIM DAS BANDEIRAS,1
SAO PAULO,JARDIM DA COROA,1
SAO PAULO,JARDIM CORDEIRO,1
SAO PAULO,JARDIM CAMELIA,1
SAO PAULO,JARDIM THEALIA,1
SAO PAULO,JARDIM UBIRAJARA,1
SAO PAULO,JARDIM UMURAMA,1
SAO PAULO,PARQUE ARTUR ALVIM,1
SAO PAULO,PARQUE ALVES DE LIMA,1
SAO PAULO,PAPAI NOEL,1
SAO PAULO,ODASSI MAZALLI,1
SAO PAULO,NOVO SAO NORBERTO,1
SAO PAULO,NOVA AMERICA,1
SAO PAULO,MONTE LIBANO,1
SAO PAULO,MARIA SAMPAIO,1
SAO PAULO,LTAIM PAULISTA,1
SAO PAULO,LEONIDAS MOREIRA,1
SAO PAULO,KM 48,1
SAO PAULO,JRD HELENA,1
SAO PAULO,JQRDIM FRANCISCO MENDES,1
SAO PAULO,JDM JABAQUARA,1
SAO PAULO,JDIM SANTA MONICA,1
SAO PAULO,JDIM FLOR MAIO,1
SAO PAULO,JDANTARTICA,1
SAO PAULO,JD VL VARRAO,1
SAO PAULO,PARQUE ANHANGUERA,1
SAO PAULO,PARQUE DA VILA PRUDENTE,1
SAO PAULO,JD VALE DA RIBEIRA,1
SAO PAULO,PARQUE DOM JOAO NERI,1
SAO PAULO,PQ TOMAS SARAIVA,1
SAO PAULO,PQ MARIA LUISA,1
SAO PAULO,PQ FLORESTAL,1
SAO PAULO,PQ DO CARMO,1
SAO PAULO,PQ DEISE,1
SAO PAULO,PQ ALTO RIO BONITO,1
SAO PAULO,PLANALTO PAULISTA,1
SAO PAULO,PAULISTANO,1
SAO PAULO,PARQUE TOMAS SARAIVA,1
SAO PAULO,PARQUE TOMAS SARAI,1
SAO PAULO,PARQUE RES COCAIA,1
SAO PAULO,PARQUE PRIMAVERA,1
SAO PAULO,PARQUE PEREIRA,1
SAO PAULO,PARQUE NACOES UNIDAS,1
SAO PAULO,PARQUE MUNHOZ,1
SAO PAULO,PARQUE FERNANDO,1
SAO PAULO,PARQUE FERANDA,1
SAO PAULO,JD VL FORMOSA,1
SAO PAULO,JD UMARIZAL,1
SAO PAULO,JARDIM UNIVERSAL,1
SAO PAULO,JD GUANNAN,1
SAO PAULO,JD DUPRAT,1
SAO PAULO,JD DOS EUCALIPTOS,1
SAO PAULO,JD DO LAGOS,1
SAO PAULO,JD DA CACHOEIRA,1
SAO PAULO,JD CRIS,1
SAO PAULO,JD CLIMAX,1
SAO PAULO,JD CENTRAL,1
SAO PAULO,JD CEDRO DO LIBANO,1
SAO PAULO,JD CAMPINAS,1
SAO PAULO,JD CAMBARA,1
SAO PAULO,JD BONITO IPORANGA,1
SAO PAULO,JD BOA ESPERANCA,1
SAO PAULO,JD BARREIRA GRANDE,1
SAO PAULO,JD ANGELINA,1
SAO PAULO,JARDIM XANGRILA,1
SAO PAULO,JARDIM WILMA FLOR,1
SAO PAULO,JARDIM VERONICA,1
SAO PAULO,JD EDDA II,1
SAO PAULO,JD IBIRAPUERA,1
SAO PAULO,JD STA TEREZINHA,1
SAO PAULO,JD ICARAI,1
SAO PAULO,JD STA TERESA,1
SAO PAULO,JD SONIA MARLI,1
SAO PAULO,JD SAO RAFAEL,1
SAO PAULO,JD SAO MARCOS,1
SAO PAULO,JD SANTO ANDRE,1
SAO PAULO,JD ROCHEL,1
SAO PAULO,JD REGIS,1
SAO PAULO,JD RECANTO VERDE,1
SAO PAULO,JD PIRACUAMA,1
SAO PAULO,JD PAULISTA,1
SAO PAULO,JD ORIENTE,1
SAO PAULO,JD NOVO MARILDA,1
SAO PAULO,JD MARILDA,1
SAO PAULO,JD LUANDA,1
SAO PAULO,JD LABITARY,1
SAO PAULO,JD JAPAO,1
SAO PAULO,JD IDEAL,1
SAO PAULO,FAVELA JARDIM SAO JOAO 3,1
SAO PAULO,FAVELA JARDIM CELESTE 2,1
SAO PAULO,FAVELA DA CACHOEIRINHA,1
SANTA ISABEL,BAIRRO CACHOEIRA,1
RIO GRANDE DA SERRA,VILA SANTO ANTONIO,1
RIO GRANDE DA SERRA,VILA LOPES,1
RIO GRANDE DA SERRA,VILA LAVINIA,1
RIO GRANDE DA SERRA,VILA FIGUEIREDO,1
RIO GRANDE DA SERRA,VILA ARNOUD,1
RIO GRANDE DA SERRA,RIO PEQUENO,1
RIO GRANDE DA SERRA,PARQUE AMERICA,1
RIO GRANDE DA SERRA,JARDIM GUIOMAR,1
RIBEIRAO PIRES,VILA SUELI,1
RIBEIRAO PIRES,RIBERAO PIRES,1
RIBEIRAO PIRES,POUSO ALEGRE,1
RIBEIRAO PIRES,JARDIM PLANTEUCAL,1
RIBEIRAO PIRES,JARDIM DO MIRANTE,1
RIBEIRAO PIRES,CENTRO,1
POA,VILA VARELA,1
POA,VILA SANTA LUIZA,1
POA,VILA PERETA,1
RIO GRANDE DA SERRA,VILA SAO JOAO,1
SANTA ISABEL,BROTAS,1
POA,VILA JULIIA,1
SANTA ISABEL,CENTRO,1
SANTANA DE PARNAIBA,CHACARAB SOLAR II,1
SANTANA DE PARNAIBA,CHACARA SAO LUIZ,1
SANTANA DE PARNAIBA,CENTRO DE APOIO ALPHAVILLE,1
SANTANA DE PARNAIBA,ALPHAVILLE 9,1
SANTANA DE PARNAIBA,ALPHAVILLE 6,1
SANTANA DE PARNAIBA,ALPHAVILLE 3,1
SANTA ISABEL,TORRE,1
SANTA ISABEL,SANTA ISABEL,1
SANTA ISABEL,POUSO ALEGRE,1
SANTA ISABEL,PARQUE SANTA TEREZA,1
SANTA ISABEL,LANIFICIO,1
SANTA ISABEL,JARDIM JAPAO,1
SANTA ISABEL,JARDIM CRUZEIRO,1
SANTA ISABEL,ESTRADA SOL POENTE,1
SANTA ISABEL,ESTANCIA ZELIA,1
SANTA ISABEL,CHACARAS REUNIDAS CANADA,1
SANTA ISABEL,CHACARAS ELDORADO,1
POA,VILA LUCIA,1
POA,VILA GONCALVES,1
SANTANA DE PARNAIBA,CURURUQUARA,1
MOGI DAS CRUZES,VILA SANTANA,1
MOGI DAS CRUZES,VILA MORAES,1
MOGI DAS CRUZES,VILA MATHIAS,1
MOGI DAS CRUZES,VILA CINTIA,1
MOGI DAS CRUZES,SABAUNA,1
MOGI DAS CRUZES,RESIDENCIAL COLINAS,1
MOGI DAS CRUZES,PARQUE SAO MARTINHO,1
MOGI DAS CRUZES,PARQUE RESIDENCIAL ITAPETI,1
MOGI DAS CRUZES,PARQUE MORUMBI,1
MOGI DAS CRUZES,MOGILAR,1
MOGI DAS CRUZES,LAGOA SECA,1
MOGI DAS CRUZES,JARDIM RODEIO,1
MOGI DAS CRUZES,JARDIM PONTE GRANDE,1
MOGI DAS CRUZES,JARDIM NAUTICO,1
MOGI DAS CRUZES,JARDIM MARGARIDA,1
MOGI DAS CRUZES,JARDIM CAMBUCI,1
MOGI DAS CRUZES,JARDIM BELA VISTA,1
MOGI DAS CRUZES,JARDIM ARMENIA,1
MOGI DAS CRUZES,VILA SANTA HELENA,1
MOGI DAS CRUZES,VILA SUD MENUCI,1
POA,JARDIM VIOLETA,1
MOGI DAS CRUZES,VILLA DI CESAR,1
POA,JARDIM SANTO ANTONIO,1
POA,JARDIM PIVARI,1
POA,JARDIM OBELISCO,1
POA,JARDIM DOM MANUEL,1
POA,JARDIM DEBORA,1
POA,JARDIM AGUA VERMELHA,1
POA,JARDIM ABAME,1
PIRAPORA DO BOM JESUS,VILA NOVA,1
PIRAPORA DO BOM JESUS,GREEN HILLS RESIDENCIAL,1
OSASCO,VILA ALICE,1
OSASCO,RAPOSO TAVARES,1
OSASCO,JARDIM TRES MONTANHAS,1
OSASCO,JARDIM SAO PEDRO,1
OSASCO,JARDIM SAO JOAO DA BELA VISTA,1
OSASCO,JARDIM MARIETA,1
OSASCO,JARDIM HELENA MARIA,1
OSASCO,JARDIM ESTER,1
SANTANA DE PARNAIBA,CONDOMINIO VOTURUNA,1
SANTANA DE PARNAIBA,JAGUARI,1
SAO PAULO,FAVELA CELESTE 2,1
SAO PAULO,CJ PDE MANUEL DA NOBREGA,1
SAO PAULO,CJ HAB PADRE MANUEL DA NOBREGA,1
SAO PAULO,CJ HAB MANOEL DA NOBREGA,1
SAO PAULO,CIPO DO MEIO,1
SAO PAULO,CIDADE D ABRIL,1
SAO PAULO,CIDADE CONTINENTAL,1
SAO PAULO,CHACARA PARAISO,1
SAO PAULO,CHACARA DOURADO,1
SAO PAULO,CHACARA DAS CORUJAS,1
SAO PAULO,CHACARA CHAPECO,1
SAO PAULO,CARRAOZINHO,1
SAO PAULO,C0M JD BONITO VI,1
SAO PAULO,C MANACA,1
SAO PAULO,BRA,1
SAO PAULO,BOACAVA,1
SAO PAULO,BALNEARIO SAO JOSE VELHO,1
SAO PAULO,BALNEARIO SAO JOSE NOVO,1
SAO PAULO,BAIRRO,1
SAO PAULO,CJ PDE MANOEL DA NOBREGA,1
SAO PAULO,CJ PE MANOEL DE NOBREGA,1
SAO PAULO,APA BORORE COLONIA,1
SAO PAULO,CJTO RESIDENCIAL VISTA VERDE,1
SAO PAULO,EM FRENTE RUA TERTULIA,1
SAO PAULO,DOM JOSE,1
SAO PAULO,DANFER,1
SAO PAULO,CONJUNTO RESIDENCIAL SITIO ORATORIO,1
SAO PAULO,CONJUNTO PROMORAR RAPOSO TAVARES,1
SAO PAULO,CONJUNTO HABITACIONAL PADRE ESTANISLAU DE CAMPOS,1
SAO PAULO,CONJUNTO FIDALGO,1
SAO PAULO,CONJ HABITACIONAL PADRE MANUEL DA NOBREGA,1
SAO PAULO,CONJ HAB SANTA ETELVINA II,1
SAO PAULO,CONJ HAB PADRE MANOEL DE NOBRIGA,1
SAO PAULO,CONDOMINIO VILA VERDE,1
SAO PAULO,CONDOMINIO CHACARA JARAGUA,1
SAO PAULO,COMUNIDADE VILA ZAT,1
SAO PAULO,COMUNIDADE SAO JOSE,1
SAO PAULO,COMUNIDADE ITAPURA,1
SAO PAULO,COHAB CINTRA GORDINHO,1
SAO PAULO,COHAB,1
SAO PAULO,AV BENEDITO AALGADO DA SILVA,1
SAO PAULO,APA BORORE,1
SANTANA DE PARNAIBA,JARDIM FREDIANI,1
SAO BERNARDO DO CAMPO,JARDIM IRAJA,1
SAO BERNARDO DO CAMPO,JARDIM CONTINENTAL,1
SAO BERNARDO DO CAMPO,JARDIM ANCHIETA,1
SAO BERNARDO DO CAMPO,BILLINGS PARK,1
SAO BERNARDO DO CAMPO,BAETE NEVES,1
SAO BERNARDO DO CAMPO,AGUA LIMPA,1
SANTO ANDRE,VILA ELDIZIA,1
SANTO ANDRE,VILA BELA VISTA,1
