NM_MUN,bairro,n_setores,pop,casos,taxa,cum_pct_casos
Barueri,Mutinga,1,623,5.0,160.51364365971108,9.283631491843328
Mauá,RP11 (Regiões de Planejamento),1,441,5.0,226.75736961451247,9.323035700212783
Guarulhos,Cabuçu,2,382,4.0,209.42408376963354,9.354559066908346
Santo André,Jardim Irene,1,148,4.0,540.5405405405405,9.38608243360391
Caieiras,Laranjeiras,1,407,4.0,196.56019656019654,9.417605800299473
Santo André,Centreville,1,516,4.0,155.03875968992247,9.449129166995036
Guarulhos,Monte Carmelo,2,453,4.0,176.60044150110375,9.480652533690598
Diadema,Serraria,1,451,4.0,177.38359201773835,9.512175900386161
Guarulhos,Cecap,1,413,4.0,193.7046004842615,9.543699267081724
Itaquaquecetuba,Pinheirinho,1,475,4.0,168.42105263157896,9.575222633777287
São Bernardo do Campo,Batistini,2,352,4.0,227.27272727272725,9.60674600047285
Guarulhos,Água Azul,1,375,4.0,213.33333333333334,9.638269367168412
São Bernardo do Campo,Taboão,1,500,4.0,160.0,9.669792733863977
Barueri,Engenho Novo,1,467,4.0,171.30620985010705,9.70131610055954
São Bernardo do Campo,Varginha,1,379,3.0,158.31134564643799,9.724958625581213
Santo André,Parque Capuava,1,351,3.0,170.94017094017093,9.748601150602884
Santo André,Jardim Santa Cristina,1,205,3.0,292.6829268292683,9.772243675624557
São Caetano do Sul,Santa Maria,1,365,3.0,164.38356164383563,9.79588620064623
Osasco,Industrial Autonomistas,1,329,3.0,182.370820668693,9.819528725667901
Guarulhos,Picanço,1,329,3.0,182.370820668693,9.843171250689574
Santo André,Condomínio Maracanã,2,356,3.0,168.53932584269663,9.866813775711245
Santo André,Cidade São Jorge,1,356,3.0,168.53932584269663,9.890456300732918
Osasco,Castelo Branco,1,361,3.0,166.20498614958447,9.91409882575459
Santo André,Jardim Ana Maria,1,344,3.0,174.41860465116278,9.937741350776264
Guarulhos,Morro Grande,1,271,3.0,221.4022140221402,9.961383875797935
Osasco,Metalúrgicos,1,352,3.0,170.45454545454544,9.985026400819608
Osasco,Industrial Remédios,1,246,2.0,162.60162601626016,10.00078808416739
Guarulhos,Vila Augusta,1,241,2.0,165.97510373443984,10.016549767515171
Mauá,RP10 (Regiões de Planejamento),1,131,2.0,305.3435114503817,10.032311450862952
