NM_MUN,NM_FCU,n_setores,pop,casos,taxa
Cubatão,Rua Cubatão,1,528,2.0,75.75757575757575
Guarujá,Vale da Morte,1,1526,2.0,26.21231979030144
São Vicente,Vila Feliz,1,1139,2.0,35.11852502194908
São Vicente,Eduardo Dias Coelho,1,128,2.0,312.5
Guarujá,Praia do Perequê,2,1178,2.0,33.955857385398986
São Vicente,Rua 13,4,1139,2.0,35.11852502194908
Guarujá,Morro do Outeiro,2,345,1.0,57.971014492753625
Santos,Morro do Marapé II,1,446,1.0,44.84304932735426
Santos,Vila Sapo,1,146,1.0,136.986301369863
Bertioga,Rua Marítima (Sítio São João),1,399,1.0,50.12531328320802
Santos,Jardim São Manoel - Loteamento,2,583,1.0,34.305317324185246
Guarujá,Celebridade,1,980,1.0,20.408163265306122
São Vicente,Dique do Piçarro,2,955,1.0,20.94240837696335
Santos,Coca-Cola,1,162,1.0,123.45679012345678
Itanhaém,Nova Jerusalém,1,251,1.0,79.6812749003984
Santos,Pacheco,4,1881,1.0,10.63264221158958
Santos,Bela Vista / Cuscuz / Chiquinho,1,242,1.0,82.64462809917354
Bertioga,Núcleo Mangue Seco,1,555,1.0,36.03603603603604
Bertioga,Boraceia I,1,251,1.0,79.6812749003984
Santos,Vila César,1,391,0.0,0.0
São Vicente,Vila Nova São Vicente B,3,1096,0.0,0.0
Santos,Vale do Quilombo,1,161,0.0,0.0
Santos,Tiro Naval,1,136,0.0,0.0
Santos,Vila Progresso III / Alto da Bela Vista,1,763,0.0,0.0
São Vicente,Cidade de Deus,1,298,0.0,0.0
São Vicente,Bananal,1,203,0.0,0.0
São Vicente,Vila Nova São Vicente A,1,243,0.0,0.0
São Vicente,Bugre,5,2580,0.0,0.0
São Vicente,Vila Iolanda,1,673,0.0,0.0
São Vicente,Charme,4,1618,0.0,0.0
São Vicente,Núcleo Carrefour,1,264,0.0,0.0
São Vicente,Dique do Caixeta,3,1816,0.0,0.0
São Vicente,Vale Novo,1,369,0.0,0.0
São Vicente,Dique do Pompeba,2,542,0.0,0.0
São Vicente,Japuí,1,100,0.0,0.0
São Vicente,Morar Melhor,1,225,0.0,0.0
São Vicente,Morro do Asa Delta,1,429,0.0,0.0
Santos,São Bento II,1,224,0.0,0.0
Bertioga,Albatroz - Área Pública,1,335,0.0,0.0
Santos,Santista II,1,112,0.0,0.0
Cubatão,Morro da Mantiqueira,1,130,0.0,0.0
Guarujá,Perequê Canto da Bica,1,172,0.0,0.0
Guarujá,Pedreira Matarazzo,2,2802,0.0,0.0
Guarujá,Nova República I,1,394,0.0,0.0
Guarujá,Jardim Três Marias,1,163,0.0,0.0
Guarujá,Forró Society / Cunhambebe,1,323,0.0,0.0
Guarujá,DER,1,140,0.0,0.0
Guarujá,Cidade de Deus,2,965,0.0,0.0
Guarujá,Cidade Atlântica II,1,130,0.0,0.0
Guarujá,Chaparral / Chaparralzinho,2,987,0.0,0.0
Cubatão,Vila Noel,1,363,0.0,0.0
Bertioga,Vila dos Pescadores,3,827,0.0,0.0
Santos,Rua São Geraldo / São Bento,1,163,0.0,0.0
Bertioga,Rua Futura,2,511,0.0,0.0
Bertioga,Núcleo Vista Linda Praia,1,110,0.0,0.0
Bertioga,Núcleo Vila da Mata,1,365,0.0,0.0
Bertioga,Núcleo Vila Nova Jucás,1,264,0.0,0.0
Bertioga,Núcleo Ilha I (Caminho do Gamboa),1,228,0.0,0.0
Bertioga,Núcleo Chácaras 4° Setor / Embargo II,2,1313,0.0,0.0
Bertioga,Jardim Paulista,1,345,0.0,0.0
Bertioga,Ilha III,1,132,0.0,0.0
Bertioga,Chácaras Beira Rio / Calculé,1,220,0.0,0.0
Bertioga,Chácaras Balneário Mogiano,1,110,0.0,0.0
Guarujá,Praia do Góes,1,134,0.0,0.0
Guarujá,Remanescente Gleba I - Fazenda Vargem Grande,1,327,0.0,0.0
Guarujá,Santa Madalena,1,353,0.0,0.0
Guarujá,Santense,1,118,0.0,0.0
Santos,Nova Cintra III,2,336,0.0,0.0
Santos,Nova Cintra II,2,291,0.0,0.0
Santos,Nova Cintra I,1,164,0.0,0.0
Santos,Nossa Senhora de Fátima,1,185,0.0,0.0
Santos,Morro do Saboó I,1,274,0.0,0.0
Santos,Morro do Marapé IV,1,184,0.0,0.0
Santos,Morro do Marapé III,1,240,0.0,0.0
Santos,Morro Nova Cintra - Santista,1,117,0.0,0.0
Santos,Monte Serrat,2,792,0.0,0.0
Santos,Monte Cabrão B,1,117,0.0,0.0
Santos,Monte Cabrão A,1,593,0.0,0.0
Santos,Menino Jesus,2,399,0.0,0.0
Santos,Avenida Presidente Getúlio Dornelles Vargas / São Bento,1,151,0.0,0.0
Praia Grande,Vila Tupi,1,283,0.0,0.0
Praia Grande,Jardim Alice / Cidade da Criança,1,243,0.0,0.0
Praia Grande,Avenida dos Sindicatos,1,272,0.0,0.0
Itanhaém,Fundo da Cabuçu,1,176,0.0,0.0
Itanhaém,Beira Volta/Las Vegas,1,127,0.0,0.0
Guarujá,Vila do Padre,1,387,0.0,0.0
Guarujá,Vila Zilda,1,827,0.0,0.0
Guarujá,Vargem Grande,1,236,0.0,0.0
São Vicente,Vila São Bernardo (DNOS),1,100,0.0,0.0
